time,latitude,longitude,altitude,speed,bearing,num_of_satellites,HDOP
52032,5442.2914,2518.6309,27.1,0,353.57,11,0.78
52032,5442.2914,2518.6309,27.1,0,353.57,11,0.78
52033,5442.2914,2518.6309,27.1,0,353.57,12,0.75
52033,5442.2914,2518.6309,27.1,0,353.57,12,0.75
52034,5442.2914,2518.6309,27.1,0,353.57,12,0.75
52034,5442.2914,2518.6309,27.1,0,353.57,12,0.75
52035,5442.2914,2518.6309,27.1,0,353.57,12,0.75
52035,5442.2914,2518.6309,27.1,0,353.57,12,0.75
52036,5442.2914,2518.6309,27.1,0,353.57,12,0.75
52036,5442.2914,2518.6309,27.1,0,353.57,12,0.75
52037,5442.2914,2518.6309,27.1,0,353.57,12,0.75
52037,5442.2914,2518.6309,27.1,0,353.57,12,0.75
52038,5442.2914,2518.6309,27.1,0,353.57,12,0.75
52038,5442.2914,2518.6309,27.1,0,353.57,12,0.75
52039,5442.2914,2518.6309,27.1,0,353.57,12,0.75
52039,5442.2914,2518.6309,27.1,0,353.57,12,0.75
52040,5442.2914,2518.6309,27.1,0,353.57,12,0.75
52040,5442.2914,2518.6309,27.1,0,353.57,12,0.75
52041,5442.2914,2518.6309,27.1,0,353.57,12,0.75
52041,5442.2914,2518.6309,27.1,0,353.57,12,0.75
52042,5442.2914,2518.6309,27.1,0,353.57,12,0.75
52042,5442.2914,2518.6309,27.1,0,353.57,12,0.75
52043,5442.2914,2518.6309,27.1,0,353.57,12,0.75
52043,5442.2914,2518.6309,27.1,0,353.57,12,0.75
52044,5442.2914,2518.6309,27.1,0,353.57,12,0.75
52044,5442.2914,2518.6309,27.1,0,353.57,12,0.75
52045,5442.2914,2518.6309,27.1,0,353.57,12,0.75
52045,5442.2914,2518.6309,27.1,0,353.57,12,0.75
52046,5442.2914,2518.6309,27.1,0,353.57,13,0.73
52046,5442.2914,2518.6309,27.1,2.17,17.77,13,0.73
52047,5442.2914,2518.6309,27.1,2.17,17.77,13,0.73
52047,5442.2914,2518.6309,27.1,7.19,13.12,13,0.73
52048,5442.2931,2518.6292,27.4,7.19,13.12,13,0.73
52048,5442.2931,2518.6292,27.4,10.67,12.57,13,0.73
52049,5442.2955,2518.6301,27.8,10.67,12.57,12,0.85
52049,5442.2955,2518.6301,27.8,12.55,13.85,12,0.85
52050,5442.2986,2518.6314,28.2,12.55,13.85,12,0.84
52050,5442.2986,2518.6314,28.2,14.37,13.26,12,0.84
52051,5442.3019,2518.6326,29.1,14.37,13.26,13,0.79
52051,5442.3019,2518.6326,29.1,17.54,13.01,13,0.79
52052,5442.3062,2518.6346,29.9,17.54,13.01,12,0.84
52052,5442.3062,2518.6346,29.9,20.42,12.46,12,0.84
52053,5442.3113,2518.6368,30.7,20.42,12.46,12,0.76
52053,5442.3113,2518.6368,30.7,22.22,11.66,12,0.76
52054,5442.3171,2518.6389,31.7,22.22,11.66,13,0.79
52054,5442.3171,2518.6389,31.7,24.34,13.07,13,0.79
52055,5442.3233,2518.6414,32.8,24.34,13.07,13,0.79
52055,5442.3233,2518.6414,32.8,25.82,12.82,13,0.79
52056,5442.3297,2518.6444,34.8,25.82,12.82,13,0.79
52056,5442.3297,2518.6444,34.8,26.94,14.56,13,0.79
52057,5442.3365,2518.6475,37.1,26.94,14.56,13,0.79
52057,5442.3365,2518.6475,37.1,27.33,16.19,13,0.79
52058,5442.3438,2518.6513,38.4,27.33,16.19,13,0.75
52058,5442.3438,2518.6513,38.4,28.63,19.72,13,0.75
52059,5442.3511,2518.6557,40.3,28.63,19.72,13,0.73
