latitude,longitude,altitude
5444.1206,2520.3572,116.3
5444.1295,2520.3714,116.5
5444.1384,2520.3854,116.3
5444.1474,2520.3995,116.2
5444.1568,2520.4136,115.6
5444.1661,2520.4277,115.2
5444.1757,2520.4417,114.8
5444.1857,2520.4553,115.7
5444.1959,2520.4687,116.1
5444.2061,2520.4822,115.0
5444.2142,2520.4962,113.8
5444.2234,2520.5103,113.8
5444.2343,2520.524,114.5
5444.2435,2520.5374,114.5
5444.2524,2520.5519,113.9
5444.2635,2520.5654,112.7
5444.2716,2520.5807,112.7
5444.2807,2520.5962,112.0
5444.2909,2520.6109,111.8
5444.3005,2520.6261,109.6
5444.3091,2520.6402,108.0
5444.318,2520.6551,107.1
5444.3272,2520.6707,105.6
5444.3353,2520.6857,103.9
5444.3442,2520.6996,102.9
5444.3525,2520.7153,103.2
5444.3607,2520.7298,102.4
5444.3706,2520.7437,103.8
5444.3799,2520.7569,104.5
5444.3897,2520.7709,104.2
5444.3997,2520.7846,105.0
5444.4087,2520.7985,105.5
5444.417,2520.813,106.0
5444.4257,2520.827,106.4
5444.4354,2520.8403,106.4
5444.4439,2520.8534,105.8
5444.4524,2520.869,106.6
5444.4611,2520.8841,105.1
5444.4682,2520.9006,104.3
5444.4772,2520.9144,104.8
5444.4868,2520.9276,105.1
5444.4964,2520.9405,105.4
5444.506,2520.9539,105.8
5444.5153,2520.9681,106.4
5444.5249,2520.9813,106.7
5444.5348,2520.9941,107.1
5444.5437,2521.0082,107.5
5444.5526,2521.0225,107.5
5444.5609,2521.0376,108.3
5444.57,2521.0513,108.6
5444.5789,2521.0651,108.2
5444.5873,2521.0793,108.7
5444.5966,2521.093,108.3
5444.6056,2521.1071,108.8
5444.6146,2521.121,108.3
5444.6234,2521.1356,108.6
5444.6325,2521.1502,108.8
5444.6409,2521.1657,109.5
5444.6504,2521.1801,109.2
5444.6599,2521.1946,109.0
5444.6697,2521.2086,108.8
5444.6796,2521.2226,108.5
5444.6893,2521.2371,107.7
5444.6985,2521.2519,107.6
5444.7082,2521.2661,107.0
5444.7176,2521.2803,106.2
5444.7272,2521.2941,105.6
5444.7369,2521.3073,104.8
5444.747,2521.3196,104.1
5444.7577,2521.3314,103.4
5444.7682,2521.343,102.5
5444.7786,2521.3543,101.4
5444.7892,2521.3655,100.4
5444.7993,2521.3774,99.4
5444.8097,2521.3888,98.1
5444.8202,2521.4002,96.7
5444.8305,2521.4116,95.7
5444.8407,2521.423,94.4
5444.8504,2521.4345,93.4
5444.8601,2521.4456,92.3
5444.8695,2521.4566,91.6
5444.8779,2521.4682,92.1
5444.8868,2521.4792,91.9
5444.8962,2521.4896,91.3
5444.9056,2521.5002,90.2
5444.9153,2521.5109,89.1
5444.9252,2521.5216,88.1
5444.9351,2521.5324,87.0
5444.9453,2521.5434,85.8
5444.9556,2521.5552,84.6
5444.9659,2521.5665,83.3
5444.9763,2521.5777,82.0
5444.9865,2521.589,80.9
5444.9965,2521.5999,80.6
5445.0064,2521.6114,79.7
5445.0162,2521.6225,79.4
5445.0259,2521.6337,78.5
5445.0354,2521.6453,78.8
5445.0454,2521.6565,78.1
5445.0553,2521.6678,77.3
5445.0647,2521.6794,77.3
5445.0743,2521.6905,76.6
5445.0839,2521.7015,76.2
5445.0935,2521.7124,75.7
5445.103,2521.7233,74.9
5445.1124,2521.734,74.1
5445.1214,2521.7445,74.1
5445.1303,2521.755,73.6
5445.139,2521.7655,73.5
5445.1478,2521.7758,73.4
5445.1563,2521.7858,74.1
5445.1649,2521.7956,74.1
5445.1733,2521.8049,75.3
5445.1819,2521.8145,75.1
5445.1902,2521.8239,75.0
5445.1981,2521.8334,75.3
5445.2061,2521.8427,75.0
5445.2143,2521.8517,74.6
5445.2222,2521.8608,74.5
5445.23,2521.8697,74.4
5445.2377,2521.8783,74.1
5445.2451,2521.8871,74.0
5445.2515,2521.8967,73.5
5445.2593,2521.9055,72.8
5445.2672,2521.9144,73.0
5445.2749,2521.9231,73.1
5445.2836,2521.9319,72.4
5445.2908,2521.9391,73.3
5445.2988,2521.9484,74.2
5445.3064,2521.958,74.5
5445.3151,2521.9688,74.2
5445.3234,2521.9771,74.2
5445.3316,2521.9861,73.7
5445.3387,2521.9968,73.7
5445.3485,2522.0054,74.3
5445.3575,2522.0161,74.2
5445.3658,2522.0281,75.0
5445.3747,2522.0381,75.0
5445.3843,2522.0489,75.2
5445.3929,2522.0583,74.6
5445.4017,2522.0684,75.0
5445.4105,2522.0783,75.4
5445.4198,2522.088,75.3
5445.4285,2522.0974,75.7
5445.4373,2522.1066,75.7
5445.446,2522.1159,75.8
5445.4547,2522.1249,75.9
5445.462,2522.1347,77.8
5445.4687,2522.1452,80.0
5445.4768,2522.1542,80.5
5445.4864,2522.1613,80.1
5445.4949,2522.1702,79.6
5445.5041,2522.1782,78.3
5445.5119,2522.1864,77.6
5445.5196,2522.1951,77.3
5445.5272,2522.2032,77.0
5445.5345,2522.2122,76.5
5445.542,2522.2211,76.0
5445.5495,2522.2305,76.4
5445.5571,2522.2399,76.6
5445.5649,2522.2491,77.0
5445.5723,2522.2588,77.8
5445.5797,2522.268,78.6
5445.5877,2522.2771,78.8
5445.596,2522.2851,79.4
5445.6042,2522.2931,78.9
5445.612,2522.3014,79.2
5445.6208,2522.3077,78.8
5445.6279,2522.3162,79.5
5445.6348,2522.3246,79.8
5445.6415,2522.3325,80.0
5445.6485,2522.3401,80.3
5445.655,2522.3477,81.3
5445.6618,2522.3545,81.5
5445.6684,2522.3614,82.3
5445.6746,2522.3682,82.8
5445.6803,2522.3741,82.6
5445.6856,2522.3797,82.7
5445.6901,2522.3852,83.7
5445.6933,2522.3913,85.8
5445.6955,2522.3981,88.4
5445.6974,2522.4044,87.9
5445.6978,2522.411,87.6
5445.697,2522.4174,87.5
5445.6955,2522.4238,87.9
5445.693,2522.4306,88.2
5445.6897,2522.4384,88.5
5445.6854,2522.4486,91.5
5445.6809,2522.4589,91.8
5445.6758,2522.4703,92.2
5445.6719,2522.4824,92.8
5445.6656,2522.4955,94.1
5445.6594,2522.5092,95.1
5445.6508,2522.5231,95.5
5445.6442,2522.537,97.0
5445.6381,2522.5496,98.4
5445.6325,2522.5624,99.4
5445.6271,2522.575,100.5
5445.6216,2522.5872,101.6
5445.6165,2522.5986,102.7
5445.6111,2522.609,103.7
5445.6063,2522.6197,103.6
5445.6012,2522.6282,103.5
5445.5972,2522.6346,103.0
5445.593,2522.6395,103.5
5445.5894,2522.6442,103.5
5445.5883,2522.6473,104.1
5445.5883,2522.6499,104.5
5445.5889,2522.652,105.4
5445.5899,2522.654,105.4
5445.591,2522.6548,105.0
5445.5928,2522.6554,104.6
5445.5949,2522.6562,104.7
5445.5967,2522.6572,104.6
5445.5985,2522.6578,104.7
5445.6002,2522.6585,104.6
5445.602,2522.6593,104.2
5445.6039,2522.6599,104.0
5445.6056,2522.6606,103.6
5445.6074,2522.6612,103.2
5445.6094,2522.6623,103.2
5445.6109,2522.663,103.1
5445.6129,2522.6641,102.9
5445.614,2522.6644,102.3
5445.6157,2522.6652,102.2
5445.6176,2522.6661,102.2
5445.6199,2522.6666,102.3
5445.6216,2522.6665,102.5
5445.624,2522.6667,102.6
5445.6255,2522.6665,102.7
5445.627,2522.667,102.7
5445.6296,2522.6674,103.2
5445.6321,2522.6683,104.3
5445.6339,2522.6691,104.2
5445.6367,2522.6699,105.4
5445.6395,2522.6702,106.1
5445.6426,2522.6705,106.4
5445.6458,2522.6728,106.6
5445.6486,2522.6762,106.6
5445.6507,2522.6816,107.8
5445.6521,2522.6867,108.9
5445.6536,2522.6919,109.0
5445.655,2522.6971,109.3
5445.6564,2522.702,109.4
5445.6574,2522.7067,109.3
5445.6581,2522.7103,109.3
5445.6592,2522.7137,108.7
5445.916546,2522.577374,120.2057006
